fileID,adl,subject,session,original_duration,trimmed_duration,percent_removed,reduced_50_percent
70,1,0,1,11.31,10.16,10.167992926613616,False
71,1,0,2,12.6,11.22,10.952380952380953,False
72,1,0,3,16.74,15.64,6.571087216248507,False
73,1,0,4,11.55,10.54,8.744588744588745,False
74,1,0,5,12.18,10.62,12.807881773399014,False
75,1,1125,1,5.46,2.36,56.776556776556774,True
76,1,1125,2,4.08,2.32,43.13725490196079,False
77,1,1125,3,4.47,2.92,34.675615212527966,False
78,1,1125,4,4.73,2.0,57.71670190274841,True
79,1,1125,5,4.8,4.04,15.833333333333334,False
80,1,1279,1,4.65,3.4,26.881720430107528,False
81,1,1279,2,6.23,6.22,0.16051364365971107,False
82,1,1279,3,6.03,5.34,11.442786069651742,False
83,1,1279,4,4.64,4.32,6.896551724137931,False
84,1,1279,5,4.54,4.54,0.0,False
85,1,1313,1,11.65,10.58,9.184549356223176,False
86,1,1313,2,7.99,4.52,43.42928660826033,False
87,1,1313,3,6.19,4.88,21.163166397415186,False
88,1,1313,4,6.05,4.4,27.272727272727273,False
89,1,1313,5,6.65,4.2,36.8421052631579,False
90,1,1324,1,4.43,3.68,16.93002257336343,False
91,1,1324,2,4.07,4.07,0.0,False
92,1,1324,3,3.52,2.84,19.318181818181817,False
93,1,1324,4,3.91,2.52,35.549872122762146,False
94,1,1324,5,3.99,3.2,19.79949874686717,False
95,1,1358,1,3.81,3.34,12.335958005249344,False
96,1,1358,2,3.34,2.46,26.347305389221557,False
97,1,1358,3,4.46,3.32,25.56053811659193,False
98,1,1358,4,3.99,2.46,38.34586466165413,False
99,1,1358,5,3.66,3.12,14.754098360655737,False
100,1,1390,1,6.84,5.12,25.146198830409357,False
101,1,1390,2,9.48,7.02,25.949367088607595,False
102,1,1390,3,15.32,9.76,36.29242819843342,False
103,1,1390,4,14.4,13.98,2.9166666666666665,False
104,1,1390,5,13.25,11.1,16.22641509433962,False
105,1,1396,1,3.16,2.06,34.81012658227848,False
106,1,1396,2,1.95,1.32,32.30769230769231,False
107,1,1396,3,1.92,1.36,29.166666666666668,False
108,1,1396,4,2.12,1.38,34.905660377358494,False
109,1,1396,5,2.28,1.62,28.94736842105263,False
110,1,1405,1,15.2,7.08,53.421052631578945,True
111,1,1405,2,16.91,9.84,41.809580130100535,False
112,1,1405,3,14.07,7.72,45.13148542999289,False
